question_id,question,answer,p_yes,p_no,confidence,info_utility,collateral_amount,l0_start,l1_start,l0_end,l1_end
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.54,828022673475815168,6803215557190453248,7202476474262370176,6087851350557477888,8048816762832582272
34,"Will any new pharmaceutical treatment targeting visceral fat reduction be approved by the FDA before December 30, 2024?",no,0.2,0.8,0.8,0.54,832631074361408896,7138454118417912960,6864231272927171584,7982646606412105344,6138315074682183680
12,"Will Notre Dame cathedral in Paris reopen to the public on December 31, 2024?",no,0.8,0.2,0.8,0.54,835149334626456448,8510680928852605824,5757471160019870720,7607805311349823488,6440753672665438592
31,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",no,0.2,0.8,0.8,0.54,835201760265622912,7102133424009088768,6899335322869780480,7945060320521095424,6167354056889806848
15,"Will the FBI release a public statement detailing their findings on the Iranian hackers' activities related to the Trump campaign by December 24th, 2024?",yes,0.2,0.8,0.8,0.54,717209794713883392,6941874941313186816,7058611745997649280,7649855765145099392,6405349526099279872
36,"Will the US unemployment rate be above 4% in December 19th, 2024?",no,0.2,0.8,0.8,0.54,716544385694882304,6947833888026206208,7052557788470717056,7655832539190741888,6400348982186532864
32,"Will Keiichi Ishii announce his resignation as leader of Komeito before December 30, 2024?",yes,0.2,0.8,0.8,0.54,710420576662694656,7003205908492904448,6996795559099138560,7711406779615716736,6354223217678814208
20,"Will the Department of Homeland Security announce a restructuring plan by December 30, 2024?",yes,0.2,0.8,0.8,0.54,696445838632758784,8788569434963169792,5575423891522720768,9661858452610571648,5071488082788101120
17,"Will Joe Rogan publicly announce his endorsement of Trump's 2024 presidential campaign before by December 8th, 2024?",yes,0.8,0.2,0.8,0.54,851305291354845184,7131243675558478848,6871171737959522048,6358836671776261120,7705812010786002560
19,"Will the Constitutional Democratic Party of Japan (CDPJ) announce a formal coalition with any other opposition party by December 30, 2024?",yes,0.2,0.8,0.8,0.54,853566490895827968,5550043078272043008,8828760301308457088,6226470153788060032,7869627379517650944
39,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",no,0.2,0.8,0.8,0.54,682799605000728704,8932463230577482112,5485608922773271552,9804841510819725440,4997531061152603136
11,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",yes,0.8,0.2,0.8,0.54,864228601091805568,7336068645260313600,6679326812414428928,6527515571687417856,7506684505286150016
13,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.54,672193608244320256,7337765842766164992,6677781909367681920,8044745679076715264,6090932138158488576
40,"Will the Federal Reserve issue a statement or report addressing the economic impact of inflation on high-income households by December 30, 2024?",yes,0.2,0.8,0.8,0.54,603476365178993920,7900332515745550336,6202270588274840320,8594706534398763264,5701183606896447488
38,"Will a class-action lawsuit be filed against Hot Topic or Robling due to the data breach before December 25th, 2024?",yes,0.8,0.2,0.8,0.54,894819191754834816,7905482328690592768,6198230286616301568,6993863791441476608,7006141592285830528
35,"Will the COP29 summit in Baku result in any new international agreement specifically addressing the Caspian Sea environmental crisis by December 7th, 2024?",no,0.2,0.8,0.8,0.54,601229675634863360,9735948804205914240,5032894172454160384,10588962251340768640,4627460069922871296
16,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",yes,0.8,0.2,0.8,0.54,753030073966701696,6867531894258012160,7135023288493091712,6206354126820632576,7895134405600140800
37,"Will any regulatory body impose penalties on CrowdStrike regarding the software update issue by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,735083998276980992,5466968087276639232,8962920437388041728,4951726166612883456,9895539121364084992
14,"Will CrowdStrike issue a public apology specifically addressing Delta Airlines before December 24th, 2024?",yes,0.8,0.2,0.8,0.54,817502456054136448,5977483578377789440,8197429463001210752,5356933657851410432,9147023862836710272
18,"Will any state in the U.S. introduce legislation targeting obesity reduction specifically to combat Alzheimer's by December 30, 2024?",no,0.2,0.8,0.8,0.54,734156165517634560,9243726193924509056,5300892624037860352,10206557298503013760,4800835244141212672
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.54,827760777592088320,6087851350557477888,8048816762832582272,5447889517986297856,8994308683798687232
34,"Will any new pharmaceutical treatment targeting visceral fat reduction be approved by the FDA before December 30, 2024?",no,0.2,0.8,0.8,0.54,832386132055515904,7982646606412105344,6138315074682183680,8926395455934991488,5489337800670798848
12,"Will Notre Dame cathedral in Paris reopen to the public on December 31, 2024?",no,0.8,0.2,0.8,0.54,834903986290690560,7607805311349823488,6440753672665438592,6800925337167340544,7204901917127800960
31,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",no,0.2,0.8,0.8,0.54,834943961037738752,7945060320521095424,6167354056889806848,8887740141287966720,5513212495083049984
15,"Will the FBI release a public statement detailing their findings on the Iranian hackers' activities related to the Trump campaign by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,838020607929035776,7649855765145099392,6405349526099279872,6835316835041516544,7168650873475184768
36,"Will the US unemployment rate be above 4% in December 19th, 2024?",no,0.2,0.8,0.8,0.54,716319825920572288,7655832539190741888,6400348982186532864,8435733226256191616,5808623706530651136
32,"Will Keiichi Ishii announce his resignation as leader of Komeito before December 30, 2024?",yes,0.8,0.2,0.8,0.54,842356399912248576,7711406779615716736,6354223217678814208,6885764245473724416,7116130941051252864
20,"Will the Department of Homeland Security announce a restructuring plan by December 30, 2024?",yes,0.8,0.2,0.8,0.54,850820763792527104,9661858452610571648,5071488082788101120,8615949914487721984,5687126838748967680
17,"Will Joe Rogan publicly announce his endorsement of Trump's 2024 presidential campaign before by December 8th, 2024?",yes,0.8,0.2,0.8,0.54,851036761085544576,6358836671776261120,7705812010786002560,5670285182201811968,8641540667796352256
19,"Will the Constitutional Democratic Party of Japan (CDPJ) announce a formal coalition with any other opposition party by December 30, 2024?",yes,0.8,0.2,0.8,0.54,691873738757824000,6226470153788060032,7869627379517650944,5666659410645379072,8647069895880571392
39,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",no,0.8,0.2,0.8,0.54,858451583280278016,9804841510819725440,4997531061152603136,8732584380895200256,5611168224975900544
11,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",yes,0.2,0.8,0.8,0.54,672187158971960064,6527515571687417856,7506684505286150016,7156398939718043520,6847019068214574080
13,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.54,666581439282683776,8044745679076715264,6090932138158488576,8813370378303970304,5559734573350526976
40,"Will the Federal Reserve issue a statement or report addressing the economic impact of inflation on high-income households by December 30, 2024?",yes,0.8,0.2,0.8,0.54,894313917594319488,8594706534398763264,5701183606896447488,7604252460967090176,6443762914437523200
38,"Will a class-action lawsuit be filed against Hot Topic or Robling due to the data breach before December 25th, 2024?",yes,0.8,0.2,0.8,0.54,894539616310804608,6993863791441476608,7006141592285830528,6187591227850887168,7919075161178510592
35,"Will the COP29 summit in Baku result in any new international agreement specifically addressing the Caspian Sea environmental crisis by December 7th, 2024?",no,0.2,0.8,0.8,0.54,601040115365416960,10588962251340768640,4627460069922871296,11516419813952064640,4254794527430897152
16,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",yes,0.8,0.2,0.8,0.54,769145728755566208,6206354126820632576,7895134405600140800,5597299120600962048,8754222160408508032
37,"Will any regulatory body impose penalties on CrowdStrike regarding the software update issue by December 24th, 2024?",yes,0.2,0.8,0.8,0.54,806810543882226944,4951726166612883456,9895539121364084992,5517243325490025088,8881246867183978496
14,"Will CrowdStrike issue a public apology specifically addressing Delta Airlines before December 24th, 2024?",yes,0.8,0.2,0.8,0.54,817226115546015616,5356933657851410432,9147023862836710272,4800974341931909120,10206261585701877248
18,"Will any state in the U.S. introduce legislation targeting obesity reduction specifically to combat Alzheimer's by December 30, 2024?",no,0.2,0.8,0.8,0.54,733908021502696576,10206557298503013760,4800835244141212672,11269318034958926208,4348089196524178432
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.54,827481021167360256,5447889517986297856,8994308683798687232,4875374408551581696,10050510154471879936
34,"Will any new pharmaceutical treatment targeting visceral fat reduction be approved by the FDA before December 30, 2024?",no,0.2,0.8,0.8,0.54,832094155096944000,8926395455934991488,5489337800670798848,9981348889951206400,4909156121106146304
12,"Will Notre Dame cathedral in Paris reopen to the public on December 31, 2024?",no,0.2,0.8,0.8,0.54,721516913314281728,6800925337167340544,7204901917127800960,7498224137923760000,6534880672901302272
31,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",no,0.2,0.8,0.8,0.54,834662113565429120,8887740141287966720,5513212495083049984,9941912763121836544,4928629044277957632
15,"Will the FBI release a public statement detailing their findings on the Iranian hackers' activities related to the Trump campaign by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,837737748040211072,6835316835041516544,7168650873475184768,6107727634620130304,8022623622287236096
36,"Will the US unemployment rate be above 4% in December 19th, 2024?",no,0.8,0.2,0.8,0.54,838143539005005568,8435733226256191616,5808623706530651136,7537321618051778560,6500983039206619776
32,"Will Keiichi Ishii announce his resignation as leader of Komeito before December 30, 2024?",yes,0.8,0.2,0.8,0.54,842063095166568064,6885764245473724416,7116130941051252864,6148750581212143616,7969098657168220288
20,"Will the Department of Homeland Security announce a restructuring plan by December 30, 2024?",yes,0.8,0.2,0.8,0.54,850533346775666048,8615949914487721984,5687126838748967680,7683543289509916672,6377266080728411904
17,"Will Joe Rogan publicly announce his endorsement of Trump's 2024 presidential campaign before by December 8th, 2024?",yes,0.8,0.2,0.8,0.54,850749297657731456,5670285182201811968,8641540667796352256,5056476795681313792,9690541849583966080
19,"Will the Constitutional Democratic Party of Japan (CDPJ) announce a formal coalition with any other opposition party by December 30, 2024?",yes,0.8,0.2,0.8,0.54,691640059044731648,5666659410645379072,8647069895880571392,5157336855307638784,9501027637853822464
39,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",no,0.2,0.8,0.8,0.54,682338408219938944,8732584380895200256,5611168224975900544,9584865671401370752,5112226053016335360
11,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",yes,0.8,0.2,0.8,0.54,863657471004244224,7156398939718043520,6847019068214574080,6368112198886497280,7694588045821169792
13,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.54,671754715365989760,8813370378303970304,5559734573350526976,9661967482468454528,5071430853903205376
40,"Will the Federal Reserve issue a statement or report addressing the economic impact of inflation on high-income households by December 30, 2024?",yes,0.8,0.2,0.8,0.54,893992186647079040,7604252460967090176,6443762914437523200,6728217262619282432,7282761255679843584
38,"Will a class-action lawsuit be filed against Hot Topic or Robling due to the data breach before December 25th, 2024?",yes,0.8,0.2,0.8,0.54,894217833910163840,6187591227850887168,7919075161178510592,5474495088642966528,8950597124774527104
35,"Will the COP29 summit in Baku result in any new international agreement specifically addressing the Caspian Sea environmental crisis by December 7th, 2024?",no,0.2,0.8,0.8,0.54,600823930130005248,11516419813952064640,4254794527430897152,12524747977084655744,3912254369481178624
16,"Will the United Nations Security Council hold an emergency session regarding the Iran-Israel conflict before December 30, 2024?",yes,0.8,0.2,0.8,0.7,768417865886670464,6829378464124429312,7174884252996530176,6159755559639692288,7954861118363306880
14,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",yes,0.8,0.2,0.8,0.7,816458364477526528,7447751901935623168,6579166525037603840,6675451791677727744,7340327146259702912
18,"Will Gregg Wallace issue a public apology specifically addressing the new allegations against him by December 9th, 2024?",no,0.2,0.8,0.8,0.7,733218608279383296,7580636800397400064,6463836916369778688,8369231323263526784,5854779024185552896
12,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",no,0.2,0.8,0.8,0.7,720855392362466304,7718021398376549376,6348777422450127872,8508624520635954944,5758862655316422656
15,"Will a new study confirming the link between visceral fat and tau protein accumulation be published by December 30, 2024?",yes,0.8,0.2,0.8,0.7,836988524518835200,7770115198421651456,6306212810069199872,6943681882185610240,7056774897149614720
20,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",yes,0.8,0.2,0.8,0.7,849792117890902272,7993723958564144128,6129808866805242880,7129326173009589248,6873019807328443904
17,"Will any other major airline file a lawsuit against CrowdStrike related to the July 19 incident before December 31, 2024?",yes,0.8,0.2,0.8,0.7,850007949243672704,7998003560152404992,6126528905804374016,7132892496796547072,6869583415424582912
19,"Will Lewis Hamilton finish ahead of George Russell in the WDC by December 8th, 2024?",yes,0.8,0.2,0.8,0.7,691037415263925248,6094847400418020352,8039577823825300480,5547473517966963712,8832849736244887936
11,"Will the U.S. Department of Labor release a report detailing a decline in wage growth for households earning over $150,000 by December 30, 2024?",yes,0.8,0.2,0.8,0.7,862911819823913088,8245212024748660736,5942842931500439552,7337688912374441984,6677851921109017216
13,"Will Apple release a HomePod powered with Apple Intelligence by December 28th, 2024?",no,0.2,0.8,0.8,0.7,671169515669167616,8247178618240060416,5941425821871740928,9040568072643808896,5420013389232798720
37,"Will Turkey publicly announce any new military support for the rebel forces in northern Syria before December 10th, 2024?",yes,0.8,0.2,0.8,0.7,757676477411858944,6713006125431115776,7299263412612062208,6062768100162307072,8082116813718839040
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.7,826555969330999296,7603583397009488896,6444329922030162944,6805327337248869376,7200241453750380032
34,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.7,831156343539399936,6382785525064408064,7676899029049789440,7136275834203835008,6866326517978089472
31,"Will any major influencer platform (such as TikTok or Instagram) update their copyright policies in response to the Alyssa Sheil and Sydney Nicole Gifford lawsuit by December 30, 2024?",no,0.8,0.2,0.8,0.7,716812322158993024,6347983720511538176,7718986399046947840,5761138634561848320,8505263127334307584
36,"Will the number of Google searches for 'move abroad' in the U.S. show a sustained increase over the next month compared to the previous year by December 30, 2024?",no,0.2,0.8,0.8,0.7,715308058626604544,7777211499434802176,6300458718855853056,8568358040436432640,5718715274123182080
32,"Will the Romanian government announce any new economic measures to address the budget deficit by December 9th, 2024?",yes,0.8,0.2,0.8,0.7,841149886771591296,7843818870114099200,6246957102323708928,7005073533752241152,6994930140833701632
39,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",no,0.2,0.8,0.8,0.7,681637302176288000,8137309462365664256,6021646371767063552,8930677184575783680,5486705989622840320
40,"Will any major polling organization release a poll showing a significant shift in support for Trump among young male voters by December 30, 2024?",yes,0.2,0.8,0.8,0.7,602476282975841280,8930011344563093504,5487115089706233856,9713584938088593152,5044481549532016640
38,"Will the U.S. government issue any public statement or advisory regarding the Hot Topic data breach before December 8th, 2024?",yes,0.2,0.8,0.8,0.7,601810135980886400,8936278530007503872,5483266869476018176,9719666471573281280,5041325249514305536
35,"Will @firstuserhere coauthor a publication in AIstats, AAAI, ICLR or JMLR by December 24th, 2024?",no,0.2,0.8,0.8,0.7,600219810406354304,8951406991179005952,5473999791126257664,9734365623052380544,5033712714053080064
16,"Will the United Nations Security Council hold an emergency session regarding the Iran-Israel conflict before December 30, 2024?",yes,0.8,0.2,0.8,0.7,768091148638155648,6159755559639692288,7954861118363306880,5556021037134952448,8819261063357601280
14,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",yes,0.8,0.2,0.8,0.7,816111253307116928,6675451791677727744,7340327146259702912,5983499694649194496,8189187348637912448
18,"Will Gregg Wallace issue a public apology specifically addressing the new allegations against him by December 9th, 2024?",no,0.2,0.8,0.8,0.7,732906914621495296,8369231323263526784,5854779024185552896,9239491237271442176,5303322308736819200
12,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",no,0.8,0.2,0.8,0.7,833502178321639808,8508624520635954944,5758862655316422656,7607558829450218496,6440962350539078272
15,"Will a new study confirming the link between visceral fat and tau protein accumulation be published by December 30, 2024?",yes,0.2,0.8,0.8,0.7,715795390417409280,6943681882185610240,7056774897149614720,7650450423115372288,6404851647943430144
20,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",yes,0.8,0.2,0.8,0.7,849430390853509888,7129326173009589248,6873019807328443904,6358692342689511424,7705986916686498432
17,"Will any other major airline file a lawsuit against CrowdStrike related to the July 19 incident before December 31, 2024?",yes,0.8,0.2,0.8,0.7,849646163667908608,7132892496796547072,6869583415424582912,6361649808704265216,7702404482082027904
19,"Will Lewis Hamilton finish ahead of George Russell in the WDC by December 8th, 2024?",yes,0.8,0.2,0.8,0.7,690743318793541632,5547473517966963712,8832849736244887936,5049451890505373696,9704023538106397824
11,"Will the U.S. Department of Labor release a report detailing a decline in wage growth for households earning over $150,000 by December 30, 2024?",yes,0.8,0.2,0.8,0.7,862544609688791424,7337688912374441984,6677851921109017216,6530359728932641792,7503415130855101184
13,"Will Apple release a HomePod powered with Apple Intelligence by December 28th, 2024?",no,0.2,0.8,0.8,0.7,670883927338612096,9040568072643808896,5420013389232798720,9909912567461361152,4944544128561611776
37,"Will Turkey publicly announce any new military support for the rebel forces in northern Syria before December 10th, 2024?",yes,0.8,0.2,0.8,0.7,757354109330176000,6062768100162307072,8082116813718839040,5475739370322735104,8948563232495849216
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.7,826204327531035776,6805327337248869376,7200241453750380032,6091147596571503616,8044461117241750016
34,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.7,830802777168446080,7136275834203835008,6866326517978089472,7978357600462374784,6141614910462308352
31,"Will any major influencer platform (such as TikTok or Instagram) update their copyright policies in response to the Alyssa Sheil and Sydney Nicole Gifford lawsuit by December 30, 2024?",no,0.2,0.8,0.8,0.7,833374589653056640,5761138634561848320,8505263127334307584,6443411759025184896,7604666880300872704
36,"Will the number of Google searches for 'move abroad' in the U.S. show a sustained increase over the next month compared to the previous year by December 30, 2024?",no,0.8,0.2,0.8,0.7,836869542873870080,8568358040436432640,5718715274123182080,7657061345745166336,6399321853053724672
32,"Will the Romanian government announce any new economic measures to address the budget deficit by December 9th, 2024?",yes,0.8,0.2,0.8,0.7,840773114111599488,7005073533752241152,6994930140833701632,6256315513666781184,7832085816797538560
39,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",no,0.8,0.2,0.8,0.7,856891722838158592,8930677184575783680,5486705989622840320,7955599523674761216,6159183837017284480
40,"Will any major polling organization release a poll showing a significant shift in support for Trump among young male voters by December 30, 2024?",yes,0.8,0.2,0.8,0.7,892693462215400832,9713584938088593152,5044481549532016640,8595986229484902400,5700334864651852160
38,"Will the U.S. government issue any public statement or advisory regarding the Hot Topic data breach before December 8th, 2024?",yes,0.8,0.2,0.8,0.7,892918901646441088,9719666471573281280,5041325249514305536,8600952064105698304,5697043726646426752
35,"Will @firstuserhere coauthor a publication in AIstats, AAAI, ICLR or JMLR by December 24th, 2024?",no,0.2,0.8,0.8,0.7,599951259638977664,9734365623052380544,5033712714053080064,10585426862227805056,4629005578872562688
16,"Will the United Nations Security Council hold an emergency session regarding the Iran-Israel conflict before December 30, 2024?",yes,0.8,0.2,0.8,0.7,752606551874116352,5556021037134952448,8819261063357601280,5021382046051102720,9758269645810840448
14,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",yes,0.2,0.8,0.8,0.7,721934822384619008,5983499694649194496,8189187348637912448,6595602900238704384,7429191954267988992
18,"Will Gregg Wallace issue a public apology specifically addressing the new allegations against him by December 9th, 2024?",no,0.2,0.8,0.8,0.7,732611716921105024,9239491237271442176,5303322308736819200,10199856641245109248,4803989087636677632
12,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",no,0.2,0.8,0.8,0.7,720258789109788160,7607558829450218496,6440962350539078272,8386201645895708416,5842931289874372608
15,"Will a new study confirming the link between visceral fat and tau protein accumulation be published by December 30, 2024?",yes,0.8,0.2,0.8,0.7,836295869538877568,7650450423115372288,6404851647943430144,6837346530210085888,7166522829214334976
20,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",yes,0.8,0.2,0.8,0.7,849088931997298944,6358692342689511424,7705986916686498432,5671605464393356288,8639529020067531648
17,"Will any other major airline file a lawsuit against CrowdStrike related to the July 19 incident before December 31, 2024?",yes,0.2,0.8,0.8,0.7,694391818629403648,6361649808704265216,7702404482082027904,6991964680576448512,7008044553789169664
19,"Will Lewis Hamilton finish ahead of George Russell in the WDC by December 8th, 2024?",yes,0.2,0.8,0.8,0.7,851545022670189440,5049451890505373696,9704023538106397824,5663410544188394112,8652030365392137216
11,"Will the U.S. Department of Labor release a report detailing a decline in wage growth for households earning over $150,000 by December 30, 2024?",yes,0.8,0.2,0.8,0.7,862197389131655296,6530359728932641792,7503415130855101184,5812114358792056832,8430666875278718848
13,"Will Apple release a HomePod powered with Apple Intelligence by December 28th, 2024?",no,0.2,0.8,0.8,0.7,670613885356441600,9909912567461361152,4944544128561611776,10862469987815059200,4510944569233847808
37,"Will Turkey publicly announce any new military support for the rebel forces in northern Syria before December 10th, 2024?",yes,0.8,0.2,0.8,0.7,757049289705859968,5475739370322735104,8948563232495849216,4945742550711413760,9907511257930654336
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.7,825871827689847424,6091147596571503616,8044461117241750016,5452147154845496320,8987284937174181632
34,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.2,0.8,0.8,0.7,830468457476586624,7978357600462374784,6141614910462308352,8919426315071009792,5493626862212595712
31,"Will any major influencer platform (such as TikTok or Instagram) update their copyright policies in response to the Alyssa Sheil and Sydney Nicole Gifford lawsuit by December 30, 2024?",no,0.2,0.8,0.8,0.7,833039265901815168,6443411759025184896,7604666880300872704,7206177259463659264,6799721715927784448
36,"Will the number of Google searches for 'move abroad' in the U.S. show a sustained increase over the next month compared to the previous year by December 30, 2024?",no,0.2,0.8,0.8,0.7,714700205058061568,7657061345745166336,6399321853053724672,8435323549347363712,5808905812959730688
32,"Will the Romanian government announce any new economic measures to address the budget deficit by December 9th, 2024?",yes,0.8,0.2,0.8,0.7,840435161277037184,6256315513666781184,7832085816797538560,5587830787239006208,8769055804607016576
39,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",no,0.8,0.2,0.8,0.7,851416748995079680,7955599523674761216,6159183837017284480,7091931097893402624,6909260584124262784
